,C_Catenin (Beta),C_Cyclin D1,C_Cytokeratin 18,C_Cytokeratin 7,C_DNA,C_E-cadherin,C_EGFR,C_HES1,C_LC3A/B,C_MET,C_NDG1 (p-T346),C_NFkB (p65),C_PDL1,C_S6,C_S6 (p-S235/S236),C_S6 (p-S240/244),C_STAT1 (alpha-isoform),C_STAT1 (p-S727),C_STAT3,C_Vimentin,C_c-Jun,C_ki67,C_p21 (Waf1/Cip1)
2_cell_E05_fld3_5,10.11062805,6.067102838,11.20964965,7.676075736,9.358244776,8.611929439,9.79349684,10.175365,3.461973148,8.20651063,4.86859445,9.834284758,6.251164633,12.18107455,10.47173431,12.09076617,9.186124952,7.503372839,11.16156542,3.726709331,6.921021585,9.667634623,7.018994867
2_cell_E05_fld3_6,8.170748317,2.941244744,9.905785784,6.2353784,8.924371957,5.571747689,7.953534922,8.300793731,2.96035403,5.479677909,6.998017977,8.771968344,4.569026357,9.565881481,5.821005897,8.49116865,6.592579858,5.038431189,8.736393362,4.147175836,5.167297808,5.698755445,2.456934291
2_cell_E05_fld3_7,7.97632893,3.368893582,8.745355337,6.851035629,7.946289424,5.577266388,8.579903109,8.247848744,1.415131071,5.670486508,6.331754541,8.574108162,4.574209911,9.703851841,6.269576898,8.749701294,6.97972382,4.995457287,9.167487922,4.227817791,4.995375545,2.532238816,7.005318354
2_cell_E05_fld3_8,7.758318114,3.635663616,10.19485345,6.902083487,8.887020166,5.377283443,8.041675793,9.920678382,2.618435912,6.338888369,5.939518717,9.331329626,5.515272925,10.97523038,8.305799716,10.35748798,8.05818885,7.189671871,9.634775957,4.108916097,5.873346518,5.676407413,4.488990866
2_cell_E05_fld3_9,8.634514596,5.012171371,9.321160052,7.217452178,9.198892126,6.854617833,8.59181544,8.994275104,2.634060871,6.315663195,7.903951037,8.982151152,4.461031771,10.49412535,7.35912104,9.617425003,7.723008595,5.795828271,9.592490842,2.354868113,5.378077227,6.159105566,2.700128468
2_cell_E05_fld3_10,8.622002868,4.500699136,9.792475097,6.662237721,8.675152674,7.463254566,8.706542089,9.503492487,2.962676858,6.451987413,7.914869231,9.031975658,5.091996728,11.04775694,8.510461467,10.37446686,7.823956886,6.034414358,9.767234157,2.954709821,5.751871516,6.617400633,4.200897598
2_cell_E08_fld8_1,8.700076544,5.303792426,9.988804045,7.576625918,9.50540264,6.225426972,8.047877689,9.712941742,2.729541031,7.107817876,6.256452584,9.481165618,5.824149992,10.1864132,8.028519916,10.25111247,8.149654855,5.556468293,9.643666938,3.571615664,5.919803626,7.980846275,4.056682929
2_cell_E08_fld8_2,8.366147494,4.743715876,9.798678735,9.33372811,10.05055907,5.342963235,8.137142094,9.615670745,3.89765996,6.63966497,4.910525131,9.448089942,5.115790896,10.44526686,8.463581122,10.41314808,7.910560073,5.416023877,9.901112506,3.459630121,6.03741026,7.789318163,3.463278721
2_cell_E08_fld8_3,7.141020873,3.012529281,9.542390367,6.117887193,9.070017167,4.308208723,6.821100189,8.281796644,2.047134631,5.788863602,6.256085924,8.324284875,3.50390906,9.434510433,5.829577168,8.429455503,6.349430727,4.580836108,8.71336686,2.569895567,5.369239272,6.447569209,2.205940551
2_cell_E08_fld8_4,7.919199495,4.156787539,9.096957921,6.915905682,8.914282315,6.040488039,7.49163618,8.596409948,2.017903754,6.08275234,6.730448291,8.568077359,4.363964462,9.621105635,6.478238156,8.846039749,6.650004938,4.743681809,8.42915802,1.706381061,5.268333893,6.082027205,3.166801197
2_cell_E08_fld8_5,8.883832152,5.449169047,11.06499197,7.164283304,9.544836695,7.050908198,8.208265339,9.600003101,3.056407492,6.729354162,4.096394449,9.105599967,5.071292198,10.61221413,8.079243624,10.05956799,7.718514006,5.892867673,9.936500458,2.158668969,5.598539422,8.007309787,4.151080511
2_cell_E08_fld8_6,9.586594988,6.287440736,12.25569253,8.533800733,10.84723942,7.797967657,9.417341987,10.56488437,3.218235422,7.768914124,5.538257199,9.875840935,6.246652962,11.95088729,9.816410234,11.87713664,9.032092286,6.59378207,10.9316157,4.467882194,6.601712033,8.904224203,5.145939827
2_cell_E08_fld8_7,8.409488504,3.692482967,9.09976105,6.779960107,9.19645677,6.713711231,7.622949376,8.840179776,2.461707504,5.759965771,5.084135696,8.564075818,4.505246038,9.756742218,6.446817638,8.722828949,7.206776944,4.947480415,9.210998744,3.382060122,5.531232651,6.564044964,3.997945457
2_cell_E08_fld8_8,7.581402925,3.035911952,8.40894566,5.668431736,8.702887661,5.239932021,5.925020698,7.509325906,2.132960291,5.220115172,5.387451278,7.920068558,3.514927017,9.001402441,5.736332478,8.181419916,6.613308126,4.587865031,7.904652319,0.592641918,4.99264196,6.830923158,2.04209701
2_cell_E08_fld8_9,8.987670081,3.721441103,10.63176982,6.457851541,9.573947147,7.404707847,7.81783388,8.976083524,2.468307237,6.540949045,6.283394286,9.04680639,5.044004063,10.4200718,7.592563383,9.824534485,7.133386527,5.283004286,9.537764141,2.646549003,5.619872433,6.145528946,3.848328135
2_cell_E08_fld8_10,8.022911671,3.092244254,10.66682077,6.863115595,9.607547513,6.43263273,7.780675107,8.939011446,2.939448082,6.464219126,5.904944891,8.970749213,3.817030331,10.7175225,7.659815847,9.97463011,7.522093986,5.36209061,9.504515472,1.360312809,5.925596674,6.00631523,1.841212782
2_cell_D06_fld2_1,7.846306275,3.60807827,8.870209324,6.062715129,7.802504137,5.61456336,7.950188489,8.094693958,1.110534637,5.523399566,7.245447149,8.28695919,3.172187042,9.130144388,5.63029376,8.305878184,6.184672489,4.969399822,7.537745394,2.509253461,4.864988454,4.643842345,3.855145597
2_cell_D06_fld2_2,8.049184268,4.113514559,10.72034698,6.323428868,8.842656728,6.199913078,8.271438877,8.712652029,2.309252065,5.721513845,9.362540119,8.861254497,5.488439809,9.823000763,6.814448518,9.166262565,6.762949628,5.361683698,8.497767136,3.832809617,4.867243569,5.511295832,2.348720383
2_cell_D06_fld2_3,9.414291061,5.161001464,9.118856765,8.626717063,8.975443938,7.640739645,9.72776833,10.15158897,2.56548265,6.945011383,10.12757577,9.588686517,6.236239589,11.03723392,8.614765683,10.79577163,8.040871834,6.15991373,9.229524629,4.322485853,5.50850726,0.720252493,7.216139298
